# 
{"kP":"1","kD":"0","kI":"0","density":"997","profile":["dive: -2, 0.30, 30.00, 300.00","surface"]}

dive: -2, 0.30, 30.00, 300.00
EX20, 00:01:40, 1.00, 3.34
EX20, 00:01:40, 1.00, 3.34
EX20, 00:01:40, 1.00, 3.34
EX20, 00:01:40, 1.00, 3.34
EX20, 00:01:40, 1.00, 3.34
EX20, 00:01:41, 1.00, 3.34
EX20, 00:01:41, 1.00, 3.34
EX20, 00:01:41, 1.00, 3.34
EX20, 00:01:41, 1.00, 3.34
EX20, 00:01:41, 1.00, 3.34
EX20, 00:01:41, 1.00, 3.34
EX20, 00:01:41, 1.00, 3.34
EX20, 00:01:41, 1.00, 3.34
EX20, 00:01:42, 1.00, 3.34
EX20, 00:01:42, 1.00, 3.34
EX20, 00:01:42, 1.00, 3.34
EX20, 00:01:42, 1.00, 3.34
EX20, 00:01:42, 1.00, 3.34
EX20, 00:01:42, 1.00, 3.34
EX20, 00:01:42, 1.00, 3.34
