# 
{"kP":"0.04","kD":"0","kI":"0","density":"997","profile":["surface","dive: 2.5, 0.33, 40.0, 500.0, 0.44","dive: 0.4, 0.33, 40.0, 500.0, 0.0","dive: 2.5, 0.33, 40.0, 500.0, 0.44","dive: 0.4, 0.33, 40.0, 500.0, 0.0","surface","led: 0, 0, 125"]}

surface
EX20, 4853, 0.00


EX20, 380396, 2.39
EX20, 381410, 2.39
EX20, 382424, 2.38
EX20, 383440, 2.38
EX20, 384454, 2.39


# dive: 0.4, 0.33, 40.0, 500.0, 0.0
EX20, 385480, 1.96
EX20, 386496, 1.96
EX20, 387510, 1.97
EX20, 388524, 1.96
EX20, 389539, 1.95
EX20, 390553, 1.92
EX20, 391567, 1.88
EX20, 392583, 1.82
EX20, 393597, 1.77
EX20, 394611, 1.71
EX20, 395627, 1.65
EX20, 396641, 1.60
EX20, 397655, 1.56
EX20, 398671, 1.52
EX20, 399685, 1.49
EX20, 400699, 1.47
EX20, 401714, 1.46
EX20, 402728, 1.45
EX20, 403742, 1.44
EX20, 404758, 1.43
EX20, 405772, 1.42
EX20, 406786, 1.40
EX20, 407801, 1.38
EX20, 408815, 1.34
EX20, 409829, 1.31
EX20, 410845, 1.26
EX20, 411859, 1.23
EX20, 412873, 1.19
EX20, 413889, 1.16
EX20, 414903, 1.14
EX20, 415917, 1.13
EX20, 416932, 1.13
EX20, 417946, 1.13
EX20, 418960, 1.12
EX20, 419976, 1.12
EX20, 420990, 1.11
EX20, 422004, 1.10
EX20, 423019, 1.09
EX20, 424033, 1.07
EX20, 425047, 1.05
EX20, 426063, 1.03
EX20, 427077, 1.01
EX20, 428091, 1.00
EX20, 429106, 0.98
EX20, 430121, 0.97
EX20, 431135, 0.96
EX20, 432150, 0.94
EX20, 433164, 0.92
EX20, 434178, 0.90
EX20, 435194, 0.88
EX20, 436208, 0.85
EX20, 437222, 0.83

EX20, 438238, 0.81
EX20, 439252, 0.79
EX20, 440266, 0.79
EX20, 441282, 0.79
EX20, 442296, 0.80
EX20, 443310, 0.81
EX20, 444325, 0.82
EX20, 445339, 0.82
EX20, 446353, 0.82
EX20, 447369, 0.82
EX20, 448383, 0.80
EX20, 449397, 0.79
EX20, 450413, 0.77
EX20, 451427, 0.76
EX20, 452441, 0.75
EX20, 453456, 0.74
EX20, 454470, 0.73
EX20, 455484, 0.73
EX20, 456500, 0.72
EX20, 457514, 0.71
EX20, 458528, 0.70
EX20, 459543, 0.70
EX20, 460557, 0.71
EX20, 461571, 0.72
EX20, 462587, 0.73
EX20, 463601, 0.73
EX20, 464615, 0.73
EX20, 465630, 0.72
EX20, 466644, 0.70
EX20, 467658, 0.69
EX20, 468674, 0.67
EX20, 469688, 0.65
EX20, 470702, 0.64
EX20, 471717, 0.64
EX20, 472731, 0.64
EX20, 473745, 0.64
EX20, 474761, 0.65
EX20, 475775, 0.65
EX20, 476789, 0.64
EX20, 477805, 0.64
EX20, 478819, 0.63
EX20, 479833, 0.62
EX20, 480848, 0.60
EX20, 481862, 0.59
EX20, 482877, 0.58
EX20, 483892, 0.58
EX20, 484906, 0.57
EX20, 485920, 0.58
EX20, 486935, 0.58
EX20, 487949, 0.59
EX20, 488964, 0.59
EX20, 489979, 0.60

EX20, 491020, 0.60
EX20, 492034, 0.59
EX20, 493050, 0.58
EX20, 494064, 0.57
EX20, 495078, 0.56
EX20, 496094, 0.54
EX20, 497108, 0.54
EX20, 498122, 0.54
EX20, 499137, 0.55
EX20, 500151, 0.56
EX20, 501165, 0.57
EX20, 502181, 0.59
EX20, 503195, 0.60


# surface
EX20, 504221, 0.60
EX20, 505232, 0.60
EX20, 506243, 0.59
EX20, 507254, 0.55
EX20, 508265, 0.49
EX20, 509276, 0.41
EX20, 510287, 0.30
EX20, 511299, 0.17
EX20, 512310, 0.04


# led: 0, 0, 125


# profile complete
