# 
{"kP":"0.1","kD":"0","kI":"0","density":"997","profile":["dive: 1.8, 0.30, 30.00, 300.00","surface"]}

dive: 1.8, 0.30, 30.00, 300.00
EX20, 00:10:02, -0.16, 3.35
EX20, 00:10:02, -0.16, 3.35
EX20, 00:10:02, -0.16, 3.35
EX20, 00:10:02, -0.16, 3.35
EX20, 00:10:02, -0.16, 3.35
EX20, 00:10:02, -0.16, 3.35
EX20, 00:10:02, -0.16, 3.35
EX20, 00:10:02, -0.16, 3.35
EX20, 00:10:03, -0.16, 3.35
EX20, 00:10:03, -0.16, 3.35
EX20, 00:10:03, -0.16, 3.35

EX20, 00:10:03, -0.16, 3.35
EX20, 00:10:03, -0.16, 3.35
EX20, 00:10:03, -0.16, 3.35
EX20, 00:10:03, -0.16, 3.35
EX20, 00:10:03, -0.16, 3.35
EX20, 00:10:04, -0.16, 3.35
EX20, 00:10:04, -0.16, 3.35
EX20, 00:10:04, -0.16, 3.35
EX20, 00:10:04, -0.16, 3.35
EX20, 00:10:04, -0.16, 3.35
EX20, 00:10:04, -0.16, 3.35
EX20, 00:10:04, -0.16, 3.35
EX20, 00:10:04, -0.16, 3.35
EX20, 00:10:05, -0.16, 3.35
EX20, 00:10:05, -0.16, 3.35
EX20, 00:10:05, -0.16, 3.35
EX20, 00:10:05, -0.16, 3.35
EX20, 00:10:05, -0.16, 3.35
EX20, 00:10:05, -0.16, 3.35
EX20, 00:10:05, -0.16, 3.35
EX20, 00:10:05, -0.16, 3.35
EX20, 00:10:06, -0.16, 3.35
EX20, 00:10:06, -0.16, 3.35
EX20, 00:10:06, -0.16, 3.35
EX20, 00:10:06, -0.16, 3.35
EX20, 00:10:06, -0.16, 3.35
EX20, 00:10:06, -0.16, 3.35
EX20, 00:10:06, -0.16, 3.35
EX20, 00:10:07, -0.16, 3.35
EX20, 00:10:07, -0.16, 3.35
EX20, 00:10:07, -0.16, 3.35
EX20, 00:10:07, -0.16, 3.35
EX20, 00:10:07, -0.16, 3.35
EX20, 00:10:07, -0.16, 3.35
EX20, 00:10:07, -0.16, 3.35

EX20, 00:10:07, -0.16, 3.35
EX20, 00:10:08, -0.16, 3.35
EX20, 00:10:08, -0.16, 3.35
EX20, 00:10:08, -0.16, 3.35
EX20, 00:10:08, -0.16, 3.35
EX20, 00:10:08, -0.16, 3.35
EX20, 00:10:08, -0.16, 3.35
EX20, 00:10:08, -0.16, 3.35
EX20, 00:10:08, -0.16, 3.35
EX20, 00:10:09, -0.16, 3.35
EX20, 00:10:09, -0.16, 3.35
EX20, 00:10:09, -0.16, 3.35
EX20, 00:10:09, -0.16, 3.35
EX20, 00:10:09, -0.16, 3.35
EX20, 00:10:09, -0.16, 3.35
EX20, 00:10:09, -0.16, 3.35
EX20, 00:10:09, -0.16, 3.35
EX20, 00:10:10, -0.16, 3.35
EX20, 00:10:10, -0.16, 3.35
EX20, 00:10:10, -0.16, 3.35
EX20, 00:10:10, -0.16, 3.35
EX20, 00:10:10, -0.16, 3.35
EX20, 00:10:10, -0.16, 3.35
EX20, 00:10:10, -0.16, 3.35
EX20, 00:10:10, -0.16, 3.35
EX20, 00:10:11, -0.16, 3.35
EX20, 00:10:11, -0.16, 3.35
EX20, 00:10:11, -0.16, 3.35
EX20, 00:10:11, -0.16, 3.35
EX20, 00:10:11, -0.16, 3.35
EX20, 00:10:11, -0.16, 3.35
EX20, 00:10:11, -0.16, 3.35
EX20, 00:10:11, -0.16, 3.35
EX20, 00:10:12, -0.16, 3.35
EX20, 00:10:12, -0.16, 3.35

EX20, 00:10:12, -0.16, 3.35
EX20, 00:10:12, -0.16, 3.35
EX20, 00:10:12, -0.16, 3.35
EX20, 00:10:12, -0.16, 3.35
EX20, 00:10:12, -0.16, 3.35
EX20, 00:10:12, -0.16, 3.35
EX20, 00:10:13, -0.16, 3.35
EX20, 00:10:13, -0.16, 3.35
EX20, 00:10:13, -0.16, 3.35
EX20, 00:10:13, -0.16, 3.35
EX20, 00:10:13, -0.16, 3.35
EX20, 00:10:13, -0.16, 3.35
EX20, 00:10:13, -0.16, 3.35
EX20, 00:10:14, -0.16, 3.35
EX20, 00:10:14, -0.16, 3.35
EX20, 00:10:14, -0.16, 3.35
EX20, 00:10:14, -0.16, 3.35
EX20, 00:10:14, -0.16, 3.35
EX20, 00:10:14, -0.16, 3.35
EX20, 00:10:14, -0.16, 3.35
EX20, 00:10:14, -0.16, 3.35
EX20, 00:10:15, -0.16, 3.35
EX20, 00:10:15, -0.16, 3.35
EX20, 00:10:15, -0.16, 3.35
EX20, 00:10:15, -0.16, 3.35
EX20, 00:10:15, -0.16, 3.35
EX20, 00:10:15, -0.16, 3.35
EX20, 00:10:15, -0.16, 3.35
EX20, 00:10:15, -0.16, 3.35
EX20, 00:10:16, -0.16, 3.35
EX20, 00:10:16, -0.16, 3.35
EX20, 00:10:16, -0.16, 3.35
EX20, 00:10:16, -0.16, 3.35
EX20, 00:10:16, -0.16, 3.35
EX20, 00:10:16, -0.16, 3.35

