# 
{"kP":"2","kD":"0","kI":"0","density":"997","profile":["dive: 1.4, 0.30, 30.00, 300.00","surface"]}

dive: 1.4, 0.30, 30.00, 300.00
EX20, 00:23:40, -3.73, 3.22
EX20, 00:23:40, -3.63, 3.21
EX20, 00:23:40, -3.63, 3.21
EX20, 00:23:40, -3.63, 3.20
EX20, 00:23:40, -3.63, 3.20
EX20, 00:23:40, -3.63, 3.19
EX20, 00:23:40, -3.63, 3.18
EX20, 00:23:41, -3.63, 3.18
EX20, 00:23:41, -3.63, 3.17
EX20, 00:23:41, -3.53, 3.16
EX20, 00:23:41, -3.53, 3.15
EX20, 00:23:41, -3.53, 3.15
EX20, 00:23:41, -3.53, 3.14
EX20, 00:23:41, -3.53, 3.13

EX20, 00:23:41, -3.53, 3.13
EX20, 00:23:42, -3.53, 3.12
EX20, 00:23:42, -3.53, 3.11
EX20, 00:23:42, -3.41, 3.10
EX20, 00:23:42, -3.41, 3.09
EX20, 00:23:42, -3.41, 3.09
EX20, 00:23:42, -3.41, 3.08
EX20, 00:23:42, -3.41, 3.07
EX20, 00:23:42, -3.41, 3.06
EX20, 00:23:43, -3.41, 3.05
EX20, 00:23:43, -3.41, 3.05
EX20, 00:23:43, -3.28, 3.04
EX20, 00:23:43, -3.28, 3.03
EX20, 00:23:43, -3.28, 3.02
EX20, 00:23:43, -3.28, 3.01
EX20, 00:23:43, -3.28, 3.00
EX20, 00:23:44, -3.28, 2.99
EX20, 00:23:44, -3.28, 2.98
EX20, 00:23:44, -3.28, 2.98
EX20, 00:23:44, -3.14, 2.97
EX20, 00:23:44, -3.14, 2.96
EX20, 00:23:44, -3.14, 2.95
EX20, 00:23:44, -3.14, 2.94
EX20, 00:23:44, -3.14, 2.93
EX20, 00:23:45, -3.14, 2.92
EX20, 00:23:45, -3.14, 2.91
EX20, 00:23:45, -3.14, 2.90
EX20, 00:23:45, -2.99, 2.89
EX20, 00:23:45, -2.99, 2.88
EX20, 00:23:45, -2.99, 2.87
EX20, 00:23:45, -2.99, 2.86
EX20, 00:23:45, -2.99, 2.85
EX20, 00:23:46, -2.99, 2.84
EX20, 00:23:46, -2.99, 2.83
EX20, 00:23:46, -2.99, 2.82

EX20, 00:23:46, -2.84, 2.81
EX20, 00:23:46, -2.84, 2.80
EX20, 00:23:46, -2.84, 2.79
EX20, 00:23:46, -2.84, 2.78
EX20, 00:23:46, -2.84, 2.77
EX20, 00:23:47, -2.84, 2.76
EX20, 00:23:47, -2.84, 2.75
EX20, 00:23:47, -2.84, 2.74
EX20, 00:23:47, -2.68, 2.73
EX20, 00:23:47, -2.68, 2.72
